City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Drezdenko,PL,52.84,15.83,63.0,69,76,5.53,broken clouds
331,Maldonado,UY,-34.67,-54.92,55.0,87,57,10.29,broken clouds
332,Srandakan,ID,-7.94,110.25,73.33,86,84,7.65,broken clouds
333,Aswan,EG,24.09,32.91,99.07,14,7,14.23,clear sky
334,Yerbogachen,RU,61.28,108.01,57.76,76,2,7.31,clear sky
335,Puerto Escondido,MX,15.85,-97.07,91.4,66,5,9.17,clear sky
336,Tocopilla,CL,-22.09,-70.2,62.01,55,23,4.65,few clouds
337,Ardesen,TR,41.19,40.99,69.8,94,75,5.82,light intensity shower rain
338,Morondava,MG,-20.28,44.28,73.0,59,6,13.65,clear sky
339,Jinchang,CN,38.5,102.17,69.64,25,72,1.61,broken clouds
340,Kumano,JP,34.34,132.59,78.8,94,75,2.24,fog
341,Bathsheba,BB,13.22,-59.52,86.0,70,20,6.93,few clouds
342,Yar-Sale,RU,66.83,70.83,54.81,94,99,7.27,overcast clouds
343,Perth,AU,-31.93,115.83,46.0,93,91,4.7,overcast clouds
344,Sitka,US,57.05,-135.33,60.8,82,90,5.82,moderate rain
345,Olafsvik,IS,64.89,-23.71,50.09,91,100,10.02,overcast clouds
346,Korla,CN,41.76,86.15,78.89,25,94,8.46,overcast clouds
347,Jalu,LY,29.03,21.55,80.74,57,0,19.17,clear sky
348,Luanda,AO,-8.84,13.23,69.8,88,20,4.7,few clouds
349,Katsuura,JP,35.13,140.3,75.0,87,19,1.99,few clouds
350,Shwebo,MM,22.57,95.7,81.0,86,100,8.43,moderate rain
351,Katangli,RU,51.71,143.23,52.79,98,100,17.87,light rain
352,Hobyo,SO,5.35,48.53,77.45,77,2,24.07,clear sky
353,Homer,US,59.64,-151.55,55.4,93,90,4.7,light rain
354,Nivala,FI,63.92,24.97,55.99,92,93,0.78,overcast clouds
355,Pringsewu,ID,-5.36,104.97,69.69,92,73,2.08,broken clouds
356,Mazamari,PE,-11.33,-74.53,81.23,48,42,0.85,scattered clouds
357,Canutama,BR,-6.53,-64.38,85.39,43,90,1.97,overcast clouds
358,Galveston,US,29.37,-94.97,84.99,79,100,3.83,overcast clouds
359,Salalah,OM,17.02,54.09,80.6,94,20,5.82,few clouds
360,Charlottesville,US,38.03,-78.48,89.6,59,75,6.93,broken clouds
361,Smoky Lake,CA,54.12,-112.47,77.09,62,0,15.14,clear sky
362,Gilgit,PK,35.92,74.31,77.76,36,14,2.15,light rain
